Station,Incubation,ExpID,Treat,Dilu,Id,Id1,Syn,Pro,Peuk,SynFSC,ProFSC,PeukFSC
M4,Night-1,M1,kDa30,0.819336337566571,E,2,4.198024834389512,152.27006635106324,0.6734905402392686,0.06167572940122096,0.012359804938597438,1.2075499521475739
M4,Night-1,M1,kDa30,0.819336337566571,E,3,4.214268411146878,151.10156469015703,0.6229317060178549,0.06457777752079646,0.011791781108936854,1.2601070825183447
M4,Night-1,M1,kDa30,0.819336337566571,E,4,4.16569510824648,151.0321278944386,0.5985809299250131,0.06397871707546729,0.011887411818414448,1.3299640976972533
M4,Night-1,M1,kDa30,0.5462242250443807,F,1,2.7149384478362375,105.6651965990393,0.4701849840020731,0.06504327013488778,0.011729875133572014,1.2240339198561367
M4,Night-1,M1,kDa30,0.5462242250443807,F,2,2.9339739641491285,102.48368763255777,0.41287956813321963,0.06433216876117176,0.01165768086471449,1.2999156774333922
M4,Night-1,M1,kDa30,0.5462242250443807,F,3,2.844684691417285,107.69370218407241,0.4095132430984021,0.062978514031506,0.011901447963771915,1.3060251034886647
M4,Night-1,M1,kDa30,0.5462242250443807,F,4,2.836211667891797,106.12285048256099,0.44489594790459563,0.06368171035371366,0.011579855315836749,1.2602439866075201
M4,Night-1,M1,kDa30,0.27311211252219036,G,1,1.4921523246211466,54.297400872984085,0.2007378347185156,0.06043704220210627,0.012235286806481754,1.275044577715597
M4,Night-1,M1,kDa30,0.27311211252219036,G,2,1.440834689413041,54.339303413000565,0.2163491126987923,0.06739549663025766,0.012140838679142552,1.2881890217813239
M4,Night-1,M1,kDa30,0.27311211252219036,G,3,1.4409064115433954,53.21394725796685,0.20520552226601743,0.06487286438158077,0.011766873401124008,1.3565166132194673
M4,Night-1,M1,kDa30,0.27311211252219036,G,4,1.4766123738440353,52.87999058664214,0.22304641631963723,0.06356099489064135,0.012348709464746858,1.131199209513166
M4,Night-1,M1,T0,NA,T,NA,4.248290101449263,144.69791764270312,0.7990101533345509,0.08516439812762905,0.018021625852997925,1.3062502306218944
M4,Day-1,M2,um0.1&kDa30,1,A,1,4.238684511252957,156.9017458170904,0.6689807177367761,0.12139724564285877,0.02785164014143863,1.752416413865875
M4,Day-1,M2,um0.1&kDa30,1,A,2,4.187178167457409,156.94340771776325,0.6418896169505823,0.11573738527858511,0.02747372201014619,1.6249771751021533
M4,Day-1,M2,um0.1&kDa30,1,A,3,4.105900787417697,154.28003460056843,0.6879279683404322,0.12127797772224294,0.027347089499860467,1.5822195679307696
M4,Day-1,M2,um0.1&kDa30,1,A,4,3.916285246567219,155.71937830901646,0.6337541685426227,0.11375982768583051,0.02714616278091198,1.6325815889290458
M4,Day-1,M2,um0.1,0.819336337566571,B,1,3.3204769447842963,128.0576349325487,0.4766737859930606,0.1134849821895472,0.02575796505721624,1.6624828393294397
M4,Day-1,M2,um0.1,0.819336337566571,B,2,3.45862199136371,125.22263538760856,0.4739701257940737,0.12567470747903298,0.026043674572799047,1.5377782563438456
M4,Day-1,M2,um0.1,0.819336337566571,B,3,3.3367527438562274,124.77265111879835,0.48751494426388425,0.11701690534086796,0.026236286916633517,1.4713610370301329
M4,Day-1,M2,um0.1,0.819336337566571,B,4,3.2961057466105443,126.03466796347413,0.45771632972900755,0.12500867660333453,0.02619350176749437,1.6384132272002907
M4,Day-1,M2,um0.1,0.5462242250443807,C,1,2.3030207498041877,87.48643653135431,0.3134682611193587,0.12283753479074005,0.027866911334920405,1.5351689301707803
M4,Day-1,M2,um0.1,0.5462242250443807,C,2,2.2067862442160218,85.71329754132358,0.33114405815784276,0.1223614832718142,0.027462130937987907,1.5515885710200077
M4,Day-1,M2,um0.1,0.5462242250443807,C,3,2.3180289992278027,86.96272387187827,0.3387290419669338,0.12436362829561448,0.027574297039356443,1.5686037783575189
M4,Day-1,M2,um0.1,0.5462242250443807,C,4,2.383733834113356,85.20268146390703,0.3488420776414129,0.12122318183627369,0.026952579587696545,1.6028902914193721
M4,Day-1,M2,um0.1,0.27311211252219036,D,1,1.153223771424955,45.16760565054328,0.1583723944132236,0.1329475501311799,0.02721143813766054,1.7254454111673359
M4,Day-1,M2,um0.1,0.27311211252219036,D,2,1.2312070832135464,45.86713149225832,0.14274861275793238,0.1311039706073928,0.02886097026746727,1.7905398878286154
M4,Day-1,M2,um0.1,0.27311211252219036,D,3,1.1821232467620435,44.23147992337627,0.16504985456593094,0.12837632106473437,0.026345298973778908,1.6354304862426292
M4,Day-1,M2,um0.1,0.27311211252219036,D,4,1.1450768921817214,44.039520561654335,0.15465928099526097,0.13341531282324098,0.028023754626948134,1.5449493049157583
