cruise,time_n,Abu_Euk,Abu_Pro,Abu_Syn,Bio_Euk,Bio_Pro,Bio_Syn,Dia_Euk,Dia_Pro,Dia_Syn
KN210-04,2013-04-24T13:30:00Z,1.0555903413580818,0.9504024380461845,0.7535616013415958,1.431580505996912,1.2315004795871571,0.8820916006464719,1.194221739737766,1.121260165177817,1.095756993537576
KN210-04,2013-04-24T14:00:00Z,1.0818978891264293,0.9413698975150868,0.7732028462813468,1.4724243858135029,1.324414237537111,0.958989564322033,1.1890138336087335,1.158284576585847,1.1265854323904803
KN210-04,2013-04-24T14:30:00Z,1.252896947576869,0.9833836793926958,1.0058099745768225,2.1787704714631326,1.4695957261929866,1.3914577876818834,1.2956449113549011,1.1923832551917068,1.1732288343406498
KN210-04,2013-04-24T15:00:00Z,1.2430316180396608,0.9831344008064198,1.030464396198823,2.088140927583382,1.4108664757694822,1.4137106939881585,1.3009933615149154,1.1597953040916686,1.1484952338803824
KN210-04,2013-04-24T15:30:00Z,1.2233009572134002,1.006106924343488,1.156335055591592,2.088140927583382,1.3538727099017536,1.5017940588629881,1.3090844309999423,1.1363823650482487,1.13515385530691
KN210-04,2013-04-24T16:00:00Z,1.2233009572134002,1.01804290281456,1.2509918075047484,2.024208350886126,1.3998691825214507,1.6145896108442996,1.3168727105470968,1.14528088914195,1.1366042200660331
KN210-04,2013-04-24T16:30:00Z,1.1312245409001065,1.0194806850505642,1.3374706326281587,1.6785383659575621,1.3628397867444704,1.6969216407239949,1.1770480768825937,1.1393421568398707,1.132291848506826
KN210-04,2013-04-24T17:00:00Z,1.0781484433350452,1.0193836510840917,1.2733897605074538,1.5734441779356534,1.3965552644192682,1.617117034635843,1.170839283082445,1.1487850157284454,1.1135454648016845
KN210-04,2013-04-24T17:30:00Z,1.2561853907559384,1.0528394468378135,1.2216289575135302,1.8870414884477777,1.5022025148819924,1.4687763735455972,1.2416223745686499,1.1633321586836747,1.104605608014473
KN210-04,2013-04-24T18:00:00Z,1.2331662870425824,1.0563811350975103,1.1882249164406344,2.0016035678566717,1.4763371358767552,1.400226038310508,1.269439929494585,1.1537656816677022,1.0968587640130054
KN210-04,2013-04-24T18:30:00Z,1.1636114301242486,1.0565150614082957,1.1724571409634477,1.744494578724958,1.4378587395084517,1.3668443416563356,1.246603023530802,1.142304198302293,1.0815681668497192
KN210-04,2013-04-24T19:00:00Z,1.2430316180396608,1.055807310395219,1.2119939350069289,1.7504832099655583,1.4612175575636555,1.51921116812887,1.1983044197343917,1.146272925533858,1.0837376537927057
